Timestamp,Namespace,Pod,QueueTime,QueueTimeFormatted,Days,Hours,Minutes,Seconds,CreationTime,StartTime
2025-03-20 00:54:15,dev,fremont-shark-15379-p2sn6,471037.0,5d 10h 50m 37.0s,5,10,50,37.0,2025-03-04T04:22:14Z,2025-03-09T15:12:51Z
2025-03-20 01:54:53,rocm-qa,rocm-test-job-m4rfv,338233.0,3d 21h 57m 13.0s,3,21,57,13.0,2025-03-05T17:09:46Z,2025-03-09T15:06:59Z
2025-03-20 03:15:38,opea,rocm-opea-test-job-yu-v5xql,20924.0,0d 5h 48m 44.0s,0,5,48,44.0,2025-03-17T20:45:20Z,2025-03-18T02:34:04Z
2025-03-20 01:19:31,silo-gen-models,refm-gromacs-abfe-dev-sebrem-deployment-748db8458d-hrvxt,10896.0,0d 3h 1m 36.0s,0,3,1,36.0,2025-03-18T07:01:28Z,2025-03-18T10:03:04Z
2025-03-20 02:30:11,dev,reference-models-test-deployment-56c9b7bfff-bxhd4,7828.0,0d 2h 10m 28.0s,0,2,10,28.0,2025-02-19T00:48:11Z,2025-02-19T02:58:39Z
2025-03-20 05:06:42,dev,samaario-dev-64875d8d59-86v5n,5238.0,0d 1h 27m 18.0s,0,1,27,18.0,2025-03-18T09:57:43Z,2025-03-18T11:25:01Z
2025-03-20 01:44:47,dev,rocm-test-job-mlperf-xfhjs,2848.0,0d 0h 47m 28.0s,0,0,47,28.0,2025-03-17T15:50:23Z,2025-03-17T16:37:51Z
2025-03-20 05:21:49,arc-runner-test-nfs,linux-mi300-1gpu-ossci-8ttt7-runner-mzk8q,1922.0,0d 0h 32m 2.0s,0,0,32,2.0,2025-03-20T11:04:56Z,2025-03-20T11:36:58Z
2025-03-20 04:41:28,arc-runner-test-nfs,linux-mi300-1gpu-ossci-8ttt7-runner-d89n9,1859.0,0d 0h 30m 59.0s,0,0,30,59.0,2025-03-20T11:04:56Z,2025-03-20T11:35:55Z
2025-03-20 04:41:28,arc-runner-test-nfs,linux-mi300-1gpu-ossci-8ttt7-runner-klgdv,1858.0,0d 0h 30m 58.0s,0,0,30,58.0,2025-03-20T11:04:56Z,2025-03-20T11:35:54Z
